Action,Date,Type,ApplicationNumber,BankName,Location,City,State,County,EndCmtPd,Coordinates
Approved,2020-04-14,Branch Establishment,2020-LB-BranchNew-313750,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-10,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-14,Branch Establishment,2020-LB-BranchNew-313751,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-10,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-14,Branch Establishment,2020-LB-BranchNew-313415,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-04-12,"(39.7462653, -75.549732, 0.0)"
Approved,2020-04-14,Relocation,2020-LB-Relocation-314070,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha,2020-04-10,
Approved,2020-04-15,Branch Establishment,2020-LB-BranchNew-313747,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-08,"(40.14265239664577, -82.98892639120868, 0.0)"
Consummated/Effective,2020-04-15,Branch Closings,2020-LB-BranchClosing-312669,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, ,
Approved,2020-04-16,Branch Establishment,2020-LB-BranchNew-313799,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-15,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-16,Branch Establishment,2020-LB-BranchNew-311258,"Santander Bank, NA","824 N. Market Street, Suite 100",Wilmington,DE,New Castle,2020-04-02,
Consummated/Effective,2020-04-16,Branch Closings,2020-LB-BranchClosing-312728,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, ,"(39.10049687755102, -84.5112548367347, 0.0)"
Consummated/Effective,2020-04-16,Branch Closings,2020-LB-BranchClosing-312729,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, ,"(39.10049687755102, -84.5112548367347, 0.0)"
Consummated/Effective,2020-04-16,Branch Closings,2020-LB-BranchClosing-312730,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, ,"(39.10049687755102, -84.5112548367347, 0.0)"
Receipt,2020-04-01,Branch Closings,2020-CE-BranchClosing-314131,"Associated Bank, NA",200 North Adams Street,Green Bay,WI,Brown, ,"(44.51485, -88.013856, 0.0)"
Consummated/Effective,2020-04-01,Business Combinations,2019-NE-Combination-312238,Columbia Bank,19-01 Route 208 North,Fair Lawn,NJ,Bergen,2020-01-15,
Consummated/Effective,2020-04-01,Conversions,2019-WE-Conversion-309721,Metabank,5501 South Broadband Lane,Sioux Falls,SD,Minnehaha, ,"(43.4961999, -96.788395, 0.0)"
Consummated/Effective,2020-04-01,Branch Closings,2020-LB-BranchClosing-312726,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, ,"(39.10049687755102, -84.5112548367347, 0.0)"
Consummated/Effective,2020-04-02,Subsidiaries & Equities,2020-SO-Subs&Equities-313433,First Citizens NB,200-206 West Court Street,Dyersburg,TN,Dyer, ,"(36.032966, -89.386908, 0.0)"
Consummated/Effective,2020-04-02,Subsidiaries & Equities,2020-SO-Subs&Equities-314079,First Citizens NB,200-206 West Court Street,Dyersburg,TN,Dyer, ,"(36.032966, -89.386908, 0.0)"
Receipt,2020-04-02,Branch Closings,2020-LB-BranchClosing-314139,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, ,"(40.14265239664577, -82.98892639120868, 0.0)"
Consummated/Effective,2020-04-02,Branch Establishment,2018-SO-BranchNew-303286,"Mercantil Bank, NA",220 Alhambra Circle,Coral Gables,FL,Miami-Dade,2018-06-15,"(25.7518, -80.2595099, 0.0)"
Approved,2020-04-02,Branch Establishment,2020-LB-BranchNew-313222,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-03-22,"(39.7462653, -75.549732, 0.0)"
Approved,2020-04-02,Branch Establishment,2020-WE-BranchNew-313286,"Sunflower Bank, NA",1400 16th St.,Denver,CO,Denver,2020-03-18,"(39.7587306, -105.0098284, 0.0)"
Consummated/Effective,2020-04-03,Branch Closings,2020-WE-BranchClosing-312522,First NB Alaska,101 West 36th Avenue,Anchorage,AK,Anchorage, ,"(61.188158, -149.88338, 0.0)"
Consummated/Effective,2020-04-03,Business Combinations,2020-SO-Combination-313037,"First, A National Banking Association",6480 U.S. Highway 98 West,Hattiesburg,MS,Forrest,2020-03-01,
Consummated/Effective,2020-04-03,Subsidiaries & Equities,2020-SO-Subs&Equities-314010,"First, A National Banking Association",6480 U.S. Highway 98 West,Hattiesburg,MS,Forrest, ,
Consummated/Effective,2020-04-03,Branch Closings,2020-NE-BranchClosing-312525,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, ,"(38.92253005, -77.22256757939189, 0.0)"
Receipt,2020-04-03,Branch Establishment,2020-LB-BranchNew-314144,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-29,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-03,Branch Establishment,2020-LB-BranchNew-314145,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-01,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-03,Branch Establishment,2020-LB-BranchNew-314146,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-01,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-03,Branch Establishment,2020-LB-BranchNew-314147,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-02,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-03,Relocation,2020-LB-Relocation-314152,KeyBank NA,127 Public Square,Cleveland,OH,Cuyahoga,2020-05-05,
Withdrawn,2020-04-03,Subsidiaries & Equities,2020-NE-Subs&Equities-314094,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, ,"(39.96671746186824, -74.18515206506702, 0.0)"
Receipt,2020-04-03,Subsidiaries & Equities,2020-NE-Subs&Equities-314158,"OceanFirst Bank, NA",975 Hooper Avenue,Toms River,NJ,Ocean, ,"(39.96671746186824, -74.18515206506702, 0.0)"
Consummated/Effective,2020-04-03,Branch Closings,2019-NE-BranchClosing-311730,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Consummated/Effective,2020-04-03,Branch Closings,2019-NE-BranchClosing-311731,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Consummated/Effective,2020-04-03,Branch Closings,2019-NE-BranchClosing-311732,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Consummated/Effective,2020-04-03,Branch Closings,2019-NE-BranchClosing-311734,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Consummated/Effective,2020-04-03,Branch Closings,2019-NE-BranchClosing-311735,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Consummated/Effective,2020-04-03,Branch Closings,2019-NE-BranchClosing-311736,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Consummated/Effective,2020-04-03,Branch Closings,2020-NE-BranchClosing-314168,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Consummated/Effective,2020-04-03,Branch Closings,2020-NE-BranchClosing-314169,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Consummated/Effective,2020-04-03,Branch Closings,2020-NE-BranchClosing-314170,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Consummated/Effective,2020-04-03,Branch Closings,2020-NE-BranchClosing-314171,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Approved,2020-04-03,Branch Establishment,2020-CE-BranchNew-313394,"Town Bank, NA",850 West North Shore Drive,Hartland,WI,Waukesha,2020-03-23,
Approved,2020-04-03,Branch Establishment,2020-CE-BranchNew-313360,"Wintrust Bank, NA",231 South LaSalle Street,Chicago,IL,Cook,2020-03-21,"(41.878598998936454, -87.63215891463547, 0.0)"
Approved,2020-04-03,Branch Establishment,2020-SO-BranchNew-312431,Woodforest NB,1330 Lake Robbins Drive,The Woodlands,TX,Montgomery,2020-04-01,"(30.161286486394122, -95.45391769874458, 0.0)"
Approved,2020-04-03,Branch Establishment,2020-SO-BranchNew-312432,Woodforest NB,1330 Lake Robbins Drive,The Woodlands,TX,Montgomery,2020-03-31,"(30.161286486394122, -95.45391769874458, 0.0)"
Approved,2020-04-03,Branch Establishment,2020-SO-BranchNew-312458,Woodforest NB,1330 Lake Robbins Drive,The Woodlands,TX,Montgomery,2020-04-01,"(30.161286486394122, -95.45391769874458, 0.0)"
Consummated/Effective,2020-04-04,Branch Closings,2020-NE-BranchClosing-314172,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Consummated/Effective,2020-04-04,Branch Closings,2020-NE-BranchClosing-314173,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Approved,2020-04-06,Relocation,2020-WE-Relocation-313607,Cortrust Bank NA,100 E. Havens & Main,Mitchell,SD,Davison,2020-03-26,
Consummated/Effective,2020-04-06,Relocation,2020-WE-Relocation-313607,Cortrust Bank NA,100 E. Havens & Main,Mitchell,SD,Davison,2020-03-26,
Receipt,2020-04-06,Branch Establishment,2020-LB-BranchNew-314159,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-03,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-06,Business Combinations,2020-CE-Combination-314287,Merchants Bank NA,102 Plaza East,Winona,MN,Winona,2020-05-08,
Approved,2020-04-06,Branch Establishment,2020-WE-BranchNew-313332,Midwest Bank NA,114 West Main Street,Pierce,NE,Pierce,2020-03-25,"(42.19895108068634, -97.52761644164701, 0.0)"
Receipt,2020-04-06,Branch Closings,2020-NE-BranchClosing-314168,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Receipt,2020-04-06,Branch Closings,2020-NE-BranchClosing-314169,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Receipt,2020-04-06,Branch Closings,2020-NE-BranchClosing-314170,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Receipt,2020-04-06,Branch Closings,2020-NE-BranchClosing-314171,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Receipt,2020-04-06,Branch Closings,2020-NE-BranchClosing-314172,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Receipt,2020-04-06,Branch Closings,2020-NE-BranchClosing-314173,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, ,
Approved,2020-04-06,Subsidiaries & Equities,2020-CE-Subs&Equities-314124,Sterling FSB,110 E 4th St,Sterling,IL,Whiteside, ,"(41.7900541, -89.69432629592939, 0.0)"
Consummated/Effective,2020-04-06,Subsidiaries & Equities,2020-CE-Subs&Equities-314124,Sterling FSB,110 E 4th St,Sterling,IL,Whiteside, ,"(41.7900541, -89.69432629592939, 0.0)"
Approved,2020-04-06,Subsidiaries & Equities,2020-CE-Subs&Equities-314125,Sterling FSB,110 E 4th St,Sterling,IL,Whiteside, ,"(41.7900541, -89.69432629592939, 0.0)"
