"Action","Receipt Date","Type","Application Number","Bank Name","Branch Name","Branch Address","City","State","County"
"Consummated/Effective",2020-05-01,"Business Combinations","2020-NE-Combination-313021","Evans Bank, N.A."," "," "," "," "," "
"Consummated/Effective",2020-05-01,"Relocation","2019-NE-Relocation-311576","HSBC Bank USA NA","1185 Avenue of The Americas Branch","1185 AVENUE OF THE AMERICAS","NEW YORK","NY","New York"
"Receipt",2020-05-01,"Branch Establishment","2020-SO-BranchNew-314377","Community NB","Community National Bank","12509 Quaker Avenue","Lubbock","TX","Lubbock"
"Receipt",2020-05-01,"Branch Establishment","2020-CE-BranchNew-314371","First Citizens NB of Upper Sandusky","Delaware Banking Center","45 E. Winter St.","Delaware","OH","Delaware"
"Consummated/Effective",2020-05-01,"Branch Closings","2020-LB-BranchClosing-312644","Santander Bank, NA","Framingham Ctr.","39 EDGELL ROAD","FRAMINGHAM","MA","Middlesex"
"Consummated/Effective",2020-05-01,"Branch Closings","2020-NE-BranchClosing-313031","HSBC Bank USA NA","Legacy Place Branch","11280 LEGACY AVENUE, SUITE 100","PALM BEACH GARDENS","FL","Palm Beach"
"Receipt",2020-05-01,"Branch Closings","2020-NE-BranchClosing-314382","People's United Bank, NA","Manchester South Main Branch","779 South Main St.","Manchester","NH","Hillsborough"
"Receipt",2020-05-01,"Branch Closings","2020-LB-BranchClosing-314372","Bank of America, NA","PWM Charlotte","150 NORTH COLLEGE STREET","CHARLOTTE","NC","Mecklenburg"
"Approved",2020-05-01,"Relocation","2020-CE-Relocation-314228","Lake Forest Bank & TR Company, NA","Waukegan Community Bank","2706 Grand Avenue","Waukegan","IL","Lake"
"Approved",2020-05-04,"Subsidiaries & Equities","2020-LB-Subs&Equities-314241","Fifth Third Bank, NA"," "," "," "," "," "
"Consummated/Effective",2020-05-04,"Subsidiaries & Equities","2020-LB-Subs&Equities-314241","Fifth Third Bank, NA"," "," "," "," "," "
"Receipt",2020-05-04,"Subsidiaries & Equities","2020-WE-Subs&Equities-314388","MetaBank, NA"," "," "," "," "," "
"Receipt",2020-05-04,"Branch Establishment","2020-LB-BranchNew-314391","JPMorgan Chase Bank, NA","Covington Square","SWC SE 272nd Street (aka Hwy 516) and 172nd Ave SE","Covington","WA","King"
"Approved",2020-05-04,"Branch Establishment","2020-LB-BranchNew-314159","JPMorgan Chase Bank, NA","Farrs Bridge Road","SWC Farrs Bridge Road aka Rte 18 and West Parker Rd","Greenville","SC","Greenville"
"Consummated/Effective",2020-05-04,"Branch Closings","2020-SO-BranchClosing-314486","Fifth Dist Svg Bk","Fifth Dist Svg Bk - Mandeville Branch","4650 Highway 22","Mandeville","LA","St Tammany"
"Consummated/Effective",2020-05-04,"Branch Establishment","2020-SO-BranchNew-314961","Fifth Dist Svg Bk","Fifth District Savings Bank - Lakeview Branch","425 Harrison Avenue, Suite 1100","New Orleans","LA","Orleans"
"Receipt",2020-05-04,"Branch Establishment","2020-LB-BranchNew-314392","JPMorgan Chase Bank, NA","Gastonia","NEC Cox Road and E Franklin Blvd","Gastonia","NC","Gaston"
"Receipt",2020-05-04,"Branch Closings","2020-SO-BranchClosing-314425","Grand Bk For Svg FSB","Grand Bk For Svg Fsb - Petal Branch","226 Highway 42","Petal","MS","Forrest"
