Action,Date,Type,ApplicationNumber,BranchName,Location,City,State,County,EndCmtPd
Consummated/Effective,5/1/2020,Business Combinations,2020-NE-Combination-313021, , , , , ,2/27/2020
Consummated/Effective,5/1/2020,Relocation,2019-NE-Relocation-311576,1185 Avenue of The Americas Branch,1185 AVENUE OF THE AMERICAS,NEW YORK,NY,New York,11/20/2019
Receipt,5/1/2020,Branch Establishment,2020-SO-BranchNew-314377,Community National Bank,12509 Quaker Avenue,Lubbock,TX,Lubbock,6/5/2020
Receipt,5/1/2020,Branch Establishment,2020-CE-BranchNew-314371,Delaware Banking Center,45 E. Winter St.,Delaware,OH,Delaware,6/7/2020
Consummated/Effective,5/1/2020,Branch Closings,2020-LB-BranchClosing-312644,Framingham Ctr.,39 EDGELL ROAD,FRAMINGHAM,MA,Middlesex, 
Consummated/Effective,5/1/2020,Branch Closings,2020-NE-BranchClosing-313031,Legacy Place Branch,"11280 LEGACY AVENUE, SUITE 100",PALM BEACH GARDENS,FL,Palm Beach, 
Receipt,5/1/2020,Branch Closings,2020-NE-BranchClosing-314382,Manchester South Main Branch,779 South Main St.,Manchester,NH,Hillsborough, 
Receipt,5/1/2020,Branch Closings,2020-LB-BranchClosing-314372,PWM Charlotte,150 NORTH COLLEGE STREET,CHARLOTTE,NC,Mecklenburg, 
Approved,5/1/2020,Relocation,2020-CE-Relocation-314228,Waukegan Community Bank,2706 Grand Avenue,Waukegan,IL,Lake,4/26/2020
Approved,5/4/2020,Subsidiaries & Equities,2020-LB-Subs&Equities-314241, , , , , , 
Consummated/Effective,5/4/2020,Subsidiaries & Equities,2020-LB-Subs&Equities-314241, , , , , , 
Receipt,5/4/2020,Subsidiaries & Equities,2020-WE-Subs&Equities-314388, , , , , , 
Receipt,5/4/2020,Branch Establishment,2020-LB-BranchNew-314391,Covington Square,SWC SE 272nd Street (aka Hwy 516) and 172nd Ave SE,Covington,WA,King,6/3/2020
Approved,5/4/2020,Branch Establishment,2020-LB-BranchNew-314159,Farrs Bridge Road,SWC Farrs Bridge Road aka Rte 18 and West Parker Rd,Greenville,SC,Greenville,5/3/2020
Consummated/Effective,5/4/2020,Branch Closings,2020-SO-BranchClosing-314486,Fifth Dist Svg Bk - Mandeville Branch,4650 Highway 22,Mandeville,LA,St Tammany, 
Consummated/Effective,5/4/2020,Branch Establishment,2020-SO-BranchNew-314961,Fifth District Savings Bank - Lakeview Branch,"425 Harrison Avenue, Suite 1100",New Orleans,LA,Orleans, 
Receipt,5/4/2020,Branch Establishment,2020-LB-BranchNew-314392,Gastonia,NEC Cox Road and E Franklin Blvd,Gastonia,NC,Gaston,5/29/2020
Receipt,5/4/2020,Branch Closings,2020-SO-BranchClosing-314425,Grand Bk For Svg Fsb - Petal Branch,226 Highway 42,Petal,MS,Forrest, 
Receipt,5/4/2020,Branch Establishment,2020-LB-BranchNew-314387,Harrisburg,SEC Harrisburg Veterans Road and NC Hwy 49,Harrisburg,NC,Cabarrus,5/31/2020
Consummated/Effective,5/4/2020,Relocation,2018-LB-Relocation-303745,Houston Regional Private Banking,4010 SOUTH BRAESWOOD,HOUSTON,TX,Harris,6/29/2018
Consummated/Effective,5/4/2020,Branch Establishment,2020-LB-BranchNew-313123,PWM El Segundo,2321 Rosecrans,El Segundo,CA,Los Angeles,3/8/2020
Consummated/Effective,5/5/2020,Relocation,2020-HQ-Relocation-313136, , , , , ,3/7/2020
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313320,18th & M NW,"1800 M STREET, NW",WASHINGTON,DC,District of Columbia, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313331,69TH & 3rd,1180 Third AVENUE@69TH STREET,NEW YORK,NY,New York, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313333,Bay Terrace,211-47 26TH AVENUE,BAYSIDE,NY,Queens, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314424,Belding,102 W Main,Belding,MI,Ionia, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313344,Bent Tree,17561 DALLAS PARKWAY,DALLAS,TX,Dallas, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314412,Briarwood,125 BRIARWOOD CIRCLE,ANN ARBOR,MI,Washtenaw, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314420,Brighton,8700 North Second Street,Brighton,MI,Livingston, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314404,Clement Manor Branch,3939 SOUTH 92ND STREET,GREENFIELD,WI,Milwaukee, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314405,Clinton Township Branch,24276 HALL ROAD (M-59),CLINTON TOWNSHIP,MI,Macomb, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314406,Coolidge Highway Branch,1470 COOLIDGE HIGHWAY,TROY,MI,Oakland, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313347,Elysian Fields Branch,115 MAIN STREET,ELYSIAN FIELDS,TX,Harrison, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314414,Farmington Branch,22420 FARMINGTON ROAD,FARMINGTON,MI,Oakland, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314413,Ferndale Kroger Branch,8920 W. EIGHT MILE,FERNDALE,MI,Oakland, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314423,Flint W Pierson,G4346 W. Pierson Rd.,Flint,MI,Genesee, 
Approved,5/5/2020,Branch Establishment,2020-LB-BranchNew-314145,Gallatin and Greenwood,SEC Gallatin Avenue and Greenwood Avenue,Nashville,TN,Davidson,5/1/2020
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313325,Great Falls,9863 GEORGETOWN PIKE,GREAT FALLS,VA,Fairfax, 
Approved,5/5/2020,Relocation,2020-LB-Relocation-314081,Greeley,1025 NINTH AVENUE,GREELEY,CO,Weld,5/3/2020
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313376,Haynesville Drive-Up Office,9999 Highway 79,Haynesville,LA,Claiborne, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313375,Haynesville Office,1914 Main Street,Haynesville,LA,Claiborne, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313316,Homer Office,617 WEST MAIN STREET,HOMER,LA,Claiborne, 
Receipt,5/5/2020,Branch Closings,2020-LB-BranchClosing-314399,Londonderry,23 ORCHARD VIEW DRIVE,LONDONDERRY,NH,Rockingham, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313348,Longview Branch,1701 NORTH WEST LOOP 281,LONGVIEW,TX,Gregg, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313353,Marshall,100 NORTH BOLIVAR STREET,MARSHALL,TX,Tyler, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313337,Mill Basin,2102-2128 RALPH AVENUE,BROOKLYN,NY,Kings, 
Consummated/Effective,5/5/2020,Relocation,2020-HQ-Relocation-313145,None Given,579 Boylston Street,Boston,MA,Suffolk,3/7/2020
Approved,5/5/2020,Branch Establishment,2020-LB-BranchNew-314144,North Quincy,NWC W. Squantum Street and Hancock Street,Quincy,MA,Norfolk,4/29/2020
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314407,Northville,39725 SIX MILE ROAD,NORTHVILLE,MI,Wayne, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313310,Northwest Office,315 NORTHWEST BOULEVARD,FRANKLIN,LA,St Mary, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313318,Oakdale Office,117 NORTH ELEVENTH STREET,OAKDALE,LA,Allen, 
Approved,5/5/2020,Branch Establishment,2020-LB-BranchNew-314147,Ponce De Leon,SEC Ponce De Leon Avenue NE and Barnett Street NE,Atlanta,GA,Fulton,5/2/2020
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313322,Rehoboth,19268 OLD LANDING ROAD,REHOBOTH,DE,Sussex, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314416,Rochester Hills,440 North Main Street,Rochester Hills,MI,Oakland, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314422,Shelby Township,50787 Corporate Drive,Shelby Township,MI,Macomb, 
Approved,5/5/2020,Branch Establishment,2020-LB-BranchNew-314146,South Robert Street West St Paul,NWC Mendota Road and South Robert Street aka Hwy 952,Saint Paul,MN,Dakota,5/1/2020
Receipt,5/5/2020,Branch Closings,2020-LB-BranchClosing-314402,Spring Grove,39 WEST HANOVER STREET,SPRING GROVE,PA,York, 
Receipt,5/5/2020,Branch Closings,2020-LB-BranchClosing-314401,State Street Drive-Up,1128 State Street,Erie,PA,Erie, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314419,Sterling Heights,3801 Metropolitan Parkway,Sterling Heights,MI,Macomb, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314403,Suttons Bay St. Joseph Ave,212 St. Joseph Avenue,Suttons Bay,MI,Leelanau, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314421,Three Oaks,11 E. Linden St.,Three Oaks,MI,Berrien, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313342,Tribeca,90 WEST BROADWAY,NEW YORK,NY,New York, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314418,Warren E 12 Mile Road,14801 E.12 Mile Road,Warren,MI,Macomb, 
Receipt,5/5/2020,Branch Closings,2020-CE-BranchClosing-314409,Warren Universal Branch,2100 12 MILE ROAD,WARREN,MI,Macomb, 
Withdrawn,5/5/2020,Branch Closings,2020-LB-BranchClosing-313355,West 34th,11097A NORTHWEST FREEWAY,HOUSTON,TX,Harris, 
