Action,Date,Type,ApplicationNumber,BankName,Location,City,State,County,EndCmtPd
Receipt,2020-05-01,Branch Closings,2020-LB-BranchClosing-314372,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg, 
Receipt,2020-05-01,Branch Establishment,2020-SO-BranchNew-314377,Community NB,500 West Illinois,Midland,TX,Midland,2020-06-05
Consummated/Effective,2020-05-01,Business Combinations,2020-NE-Combination-313021,"Evans Bank, N.A.",8599 Erie Rd,Angola,NY,Erie,2020-02-27
Receipt,2020-05-01,Branch Establishment,2020-CE-BranchNew-314371,First Citizens NB of Upper Sandusky,100 North Sandusky,Upper Sandusky,OH,Wyandot,2020-06-07
Consummated/Effective,2020-05-01,Branch Closings,2020-NE-BranchClosing-313031,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-01,Relocation,2019-NE-Relocation-311576,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax,2019-11-20
Approved,2020-05-01,Relocation,2020-CE-Relocation-314228,"Lake Forest Bank & TR Company, NA",727 North Bank Lane,Lake Forest,IL,Lake,2020-04-26
Receipt,2020-05-01,Branch Closings,2020-NE-BranchClosing-314382,"People's United Bank, NA","Bridgeport Center, 850 Main Street",Bridgeport,CT,Fairfield, 
Consummated/Effective,2020-05-01,Branch Closings,2020-LB-BranchClosing-312644,"Santander Bank, NA","824 N. Market Street, Suite 100",Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-04,Branch Establishment,2020-LB-BranchNew-313123,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-03-08
Consummated/Effective,2020-05-04,Branch Closings,2020-SO-BranchClosing-314486,Fifth Dist Svg Bk,4000 General Degaulle Dr,New Orleans,LA,Orleans, 
Consummated/Effective,2020-05-04,Branch Establishment,2020-SO-BranchNew-314961,Fifth Dist Svg Bk,4000 General Degaulle Dr,New Orleans,LA,Orleans, 
Approved,2020-05-04,Subsidiaries & Equities,2020-LB-Subs&Equities-314241,"Fifth Third Bank, NA",38 Fountain Square Plaza,Cincinnati,OH,Hamilton, 
Consummated/Effective,2020-05-04,Subsidiaries & Equities,2020-LB-Subs&Equities-314241,"Fifth Third Bank, NA",38 Fountain Square Plaza,Cincinnati,OH,Hamilton, 
Receipt,2020-05-04,Branch Closings,2020-SO-BranchClosing-314425,Grand Bk For Svg FSB,204 Westover Drive,Hattiesburg,MS,Greene, 
Approved,2020-05-04,Branch Establishment,2020-LB-BranchNew-314159,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-03
Receipt,2020-05-04,Branch Establishment,2020-LB-BranchNew-314387,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-31
Receipt,2020-05-04,Branch Establishment,2020-LB-BranchNew-314391,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-03
Receipt,2020-05-04,Branch Establishment,2020-LB-BranchNew-314392,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-29
Receipt,2020-05-04,Subsidiaries & Equities,2020-WE-Subs&Equities-314388,"MetaBank, NA",5501 South Broadband Lane,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-04,Relocation,2018-LB-Relocation-303745,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha,2018-06-29
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313310,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313316,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313318,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313320,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313322,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313325,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313331,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313333,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Withdrawn,2020-05-05,Branch Closings,2020-LB-BranchClosing-313337,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
